City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
1,Faanui,PF,79.92,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
7,Praya,CV,82.94,few clouds,14.9215,-23.5087,LT Aparthotel
11,Labuhan,ID,79.45,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
13,Kimbe,PG,75.65,scattered clouds,-5.5502,150.1429,Kimbe Bay Hotel
14,Souillac,MU,74.35,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
15,Rikitea,PF,74.25,moderate rain,-23.1203,-134.9692,Pension Maro'i
16,Arraial Do Cabo,BR,78.66,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
29,Lorengau,PG,81.34,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
30,Vaini,TO,75.36,moderate rain,-21.2,-175.2,Keleti Beach Resort
45,Teguise,ES,73.62,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
47,Butaritari,KI,82.8,light rain,3.0707,172.7902,Isles Sunset Lodge
53,Gizo,SB,80.89,light rain,-8.103,156.8419,Imagination Island
57,Atuona,PF,80.4,overcast clouds,-9.8,-139.0333,Villa Enata
65,Dingle,PH,78.87,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
68,Netanya,IL,82.94,clear sky,32.3329,34.8599,King Koresh Hotel
69,Alofi,NU,79.27,moderate rain,-19.0595,-169.9187,Taloa Heights
77,Kuala Terengganu,MY,81.77,clear sky,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
87,Mahebourg,MU,74.25,clear sky,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
91,Sandviken,SE,78.44,clear sky,60.6167,16.7667,Alséns Hotel
101,Salamiyah,SY,79.38,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
122,Cockburn Town,TC,80.56,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
127,Bereda,ES,74.41,broken clouds,43.2686,-7.5406,Pazo de Verdes
134,Arvika,SE,81.3,clear sky,59.6553,12.5852,Clarion Collection Hotel Bristol
139,Tura,IN,74.25,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
145,Algiers,DZ,73.22,broken clouds,36.7525,3.042,Sofitel Algiers Hamma Garden
150,Hami,CN,79.09,clear sky,42.8,93.45,Laoyutang Resort
151,Babol,IR,80.67,clear sky,36.5513,52.678999999999995,Reza Hotel
166,Manoel Urbano,BR,80.38,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
177,Bengkulu,ID,76.6,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
190,Barstow,US,82.49,clear sky,34.8986,-117.0228,"Motel 6 Barstow, CA"
191,Grand Gaube,MU,74.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
202,Auki,SB,75.78,scattered clouds,-8.7676,160.7034,Auki Motel
203,Faya,SA,75.72,broken clouds,18.3851,42.4509,مقبرة ال مجمل
214,San Policarpo,PH,79.03,overcast clouds,12.1791,125.5072,JM Lodge
220,Pafos,CY,77.23,few clouds,34.7667,32.4167,Elysium Hotel
222,Ferrol,ES,79.05,overcast clouds,43.4832,-8.2369,Carrís Almirante
223,Sinnamary,GF,80.56,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
229,Changji,CN,77.79,clear sky,44.0167,87.3167,Lvye Holiday Resort
230,Cap Malheureux,MU,74.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
239,Luanda,AO,78.8,clear sky,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
242,Port Blair,IN,82.33,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
244,Bitung,ID,77.85,overcast clouds,1.4451,125.1824,K2 Lembeh
245,Mahajanga,MG,78.82,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
255,Namibe,AO,75.22,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
269,Laguna,US,76.82,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
280,Tripoli,LY,74.41,clear sky,32.8752,13.1875,Hotel Al-Safwa
284,Salem,IN,78.35,overcast clouds,11.65,78.1667,YMCA PROGRAM CENTRE
287,Namatanai,PG,79.11,light rain,-3.6667,152.4333,Seagulls Inn Namatani
288,Sao Filipe,CV,73.26,overcast clouds,14.8961,-24.4956,Hotel Xaguate
289,Bambous Virieux,MU,74.21,clear sky,-20.3428,57.7575,Casa Tia Villa
290,Manta,EC,78.58,broken clouds,-0.95,-80.7333,Balandra Hotel
301,Linfen,CN,78.21,overcast clouds,36.0889,111.5189,Suoxing Hotel
312,Praia,CV,82.94,few clouds,14.9215,-23.5087,LT Aparthotel
314,Balykshi,KZ,80.6,scattered clouds,47.0667,51.8667,Гостиница Golden Rose
