City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Puerto Ayora,EC,-0.7393,-90.3518,80.56,84,82,5.99,broken clouds
1,Faanui,PF,-16.4833,-151.75,79.92,77,91,14.7,light rain
2,Kapaa,US,22.0752,-159.319,69.78,88,1,3.49,clear sky
3,New Norfolk,AU,-42.7826,147.0587,39.7,85,33,2.98,scattered clouds
4,Umm Kaddadah,SD,13.6017,26.6876,102.49,10,36,10.83,scattered clouds
5,Castro,BR,-24.7911,-50.0119,57.18,97,100,2.3,overcast clouds
6,Miles City,US,46.4083,-105.8406,63.57,48,1,5.75,clear sky
7,Praya,CV,14.9215,-23.5087,82.94,54,20,16.11,few clouds
8,Te Anau,NZ,-45.4167,167.7167,47.77,96,100,5.57,overcast clouds
9,Chimbote,PE,-9.0853,-78.5783,69.85,76,55,8.03,broken clouds
10,Kenai,US,60.5544,-151.2583,50.02,84,90,12.66,overcast clouds
11,Labuhan,ID,-6.8844,112.2051,79.45,82,100,3.98,overcast clouds
12,Busselton,AU,-33.65,115.3333,54.09,70,100,15.28,overcast clouds
13,Kimbe,PG,-5.5502,150.1429,75.65,95,42,5.53,scattered clouds
14,Souillac,MU,-20.5167,57.5167,74.35,78,10,7.11,clear sky
15,Rikitea,PF,-23.1203,-134.9692,74.25,83,100,17.16,moderate rain
16,Arraial Do Cabo,BR,-22.9661,-42.0278,78.66,78,75,11.5,broken clouds
17,Punta Arenas,CL,-53.15,-70.9167,37.51,56,40,9.19,scattered clouds
18,San Patricio,US,28.017,-97.5169,85.86,59,12,13.42,few clouds
19,Albany,US,42.6001,-73.9662,49.35,90,100,4.61,moderate rain
20,Spring Hill,US,28.4769,-82.5255,88.02,55,1,3.0,clear sky
21,Mehamn,NO,71.0357,27.8492,42.98,81,75,21.85,broken clouds
22,Mount Isa,AU,-20.7333,139.5,51.57,37,4,0.0,clear sky
23,Karatau,KZ,43.1667,70.4667,72.99,50,94,7.38,overcast clouds
24,Ardakan,IR,32.31,54.0175,95.38,6,5,9.73,clear sky
